City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Aklavik,CA,2022-12-15 22:40:58,68.2191,-135.0107,-7.22,87,31,10.85
170,Airai,TL,2022-12-15 22:40:58,-8.9266,125.4092,65.37,81,100,1.57
171,Sao Filipe,CV,2022-12-15 22:40:59,14.8961,-24.4956,78.31,65,0,10.74
172,Blythe,US,2022-12-15 22:40:59,33.6103,-114.5964,59.04,28,0,0.0
173,Barrow,US,2022-12-15 22:40:59,71.2906,-156.7887,10.42,85,100,12.66
174,Ponta Do Sol,PT,2022-12-15 22:40:59,32.6667,-17.1,64.71,78,49,13.87
175,Norman Wells,CA,2022-12-15 22:41:00,65.282,-126.8329,-3.96,84,100,3.44
176,Visnes,NO,2022-12-15 22:41:00,59.3556,5.2242,33.22,86,79,12.66
177,Mar Del Plata,AR,2022-12-15 22:41:00,-38.0023,-57.5575,62.62,72,40,16.11
178,Ovalle,CL,2022-12-15 22:41:01,-30.5983,-71.2003,79.66,37,0,5.68
179,Chimbote,PE,2022-12-15 22:41:01,-9.0853,-78.5783,70.63,80,87,7.63
180,Vardo,NO,2022-12-15 22:41:01,70.3705,31.1107,35.58,87,75,18.41
181,Riyadh,SA,2022-12-15 22:40:01,24.6877,46.7219,62.74,41,11,7.63
182,Ancud,CL,2022-12-15 22:41:02,-41.8697,-73.8203,58.37,68,100,2.82
183,Havre-Saint-Pierre,CA,2022-12-15 22:42:02,50.2334,-63.5986,30.56,69,100,13.8
184,Grindavik,IS,2022-12-15 22:42:02,63.8424,-22.4338,21.67,63,40,21.85
185,Acapulco,MX,2022-12-15 22:42:03,16.8634,-99.8901,79.86,68,54,7.25
186,Kindu,CD,2022-12-15 22:42:03,-2.95,25.95,67.14,100,99,2.1
187,Mitsamiouli,KM,2022-12-15 22:42:04,-11.3847,43.2844,79.63,82,12,7.81
188,Ulaanbaatar,MN,2022-12-15 22:42:04,47.9077,106.8832,-11.07,70,75,8.95
189,Villa Sandino,NI,2022-12-15 22:42:04,12.0483,-84.9936,87.17,88,61,7.52
190,Bethel,US,2022-12-15 22:40:59,41.3712,-73.414,39.02,82,100,5.75
191,Raudeberg,NO,2022-12-15 22:42:05,61.9875,5.1352,29.86,44,100,4.12
192,Ilhabela,BR,2022-12-15 22:37:52,-23.7781,-45.3581,71.49,76,9,8.34
193,Soyo,AO,2022-12-15 22:42:05,-6.1349,12.3689,77.74,87,80,6.69
194,Necochea,AR,2022-12-15 22:39:39,-38.5473,-58.7368,59.86,65,4,14.47
195,Upernavik,GL,2022-12-15 22:42:06,72.7868,-56.1549,23.58,90,100,29.3
196,Ammon,US,2022-12-15 22:42:06,43.4696,-111.9666,19.9,86,100,10.36
197,Flinders,AU,2022-12-15 22:39:41,-34.5833,150.8552,62.06,59,76,8.99
198,Mount Gambier,AU,2022-12-15 22:42:06,-37.8333,140.7667,57.29,65,100,9.6
199,Dikson,RU,2022-12-15 22:42:07,73.5069,80.5464,4.86,90,100,22.06
200,La Carolina,ES,2022-12-15 22:42:07,38.2756,-3.6153,46.72,97,69,5.53
201,Poronaysk,RU,2022-12-15 22:42:07,49.2167,143.1167,14.94,67,100,21.14
202,Upington,ZA,2022-12-15 22:42:07,-28.4478,21.2561,70.18,78,79,25.32
203,Gushikawa,JP,2022-12-15 22:42:08,26.3544,127.8686,65.43,95,75,16.11
204,Prado,BR,2022-12-15 22:42:08,-17.3411,-39.2208,68.67,96,100,3.15
205,San Luis,AR,2022-12-15 22:42:08,-33.295,-66.3356,79.7,20,0,13.35
206,Te Anau,NZ,2022-12-15 22:42:09,-45.4167,167.7167,66.67,71,55,3.27
207,Aguimes,ES,2022-12-15 22:42:09,27.9054,-15.4461,65.66,77,75,15.01
208,Ntungamo,UG,2022-12-15 22:42:09,-0.8833,29.65,62.26,96,100,3.62
209,Omsukchan,RU,2022-12-15 22:42:10,62.5333,155.8,-16.94,99,100,8.46
210,Neuquen,AR,2022-12-15 22:42:10,-38.9516,-68.0591,82.29,18,0,8.05
211,Solenzo,BF,2022-12-15 22:42:10,12.1833,-4.0833,75.18,12,5,5.97
